model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,ticker,lag_days
Random_Forest,Config_LLM,0.5,0.4107142857142857,0.4791666666666667,0.49459134615384615,0.5044424019607843,0.49693627450980393,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_Hybrid,0.6422413793103449,0.6444444444444445,0.3020833333333333,0.5771907867290254,0.6783854166666667,0.5922181372549019,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_Hybrid,0.5862068965517241,0.5,0.16666666666666666,0.48214285714285715,0.5266161151960784,0.5245098039215687,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_A,0.6739130434782609,0.7288135593220338,0.4215686274509804,0.6416626851409459,0.7650122549019608,0.6482843137254902,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_A,0.6782608695652174,0.8181818181818182,0.35294117647058826,0.6287409475612948,0.7630208333333333,0.6452205882352942,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_LLM,0.5043478260869565,0.45,0.5294117647058824,0.5037474449239155,0.536688112745098,0.5068933823529411,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_LLM,0.5695652173913044,0.5116279069767442,0.6470588235294118,0.569557080474111,0.561312806372549,0.5774356617647058,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_Hybrid,0.6173913043478261,0.6206896551724138,0.35294117647058826,0.5783333333333334,0.6440716911764707,0.5905330882352942,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,VCB,0
Random_Forest,Config_Hybrid,0.6217391304347826,0.6470588235294118,0.3235294117647059,0.5739924634348854,0.6809512867647058,0.5914522058823529,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,VCB,0
Logistic_Regression,Config_A,0.5042735042735043,0.46357615894039733,0.6666666666666666,0.49985259433962265,0.5367294204503507,0.5193798449612403,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VNM,0
Random_Forest,Config_A,0.5256410256410257,0.4625,0.3523809523809524,0.503886925795053,0.5418973791066815,0.5095238095238095,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VNM,0
Logistic_Regression,Config_LLM,0.47863247863247865,0.3559322033898305,0.2,0.4273908857509628,0.48578811369509045,0.4527131782945737,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VNM,0
Random_Forest,Config_LLM,0.5256410256410257,0.4642857142857143,0.37142857142857144,0.5074244751664106,0.4951642672572905,0.511295681063123,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VNM,0
Logistic_Regression,Config_Hybrid,0.5170940170940171,0.4574468085106383,0.4095238095238095,0.5060432272888606,0.5069029162052419,0.5070874861572536,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VNM,0
Random_Forest,Config_Hybrid,0.5384615384615384,0.48148148148148145,0.37142857142857144,0.518188057652711,0.5351052048726467,0.522923588039867,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,VNM,0
Logistic_Regression,Config_A,0.5364806866952789,0.4810126582278481,0.7450980392156863,0.5301717699775952,0.6359077982337974,0.559571920371202,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VNM,0
Random_Forest,Config_A,0.5708154506437768,0.509090909090909,0.5490196078431373,0.5673005496954391,0.6041760215536597,0.568402933692561,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VNM,0
Logistic_Regression,Config_LLM,0.45493562231759654,0.3949579831932773,0.46078431372549017,0.4534860097885308,0.4430474479868284,0.45558299655740153,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VNM,0
Random_Forest,Config_LLM,0.5364806866952789,0.4583333333333333,0.3235294117647059,0.504723665564478,0.5223394701392006,0.5129097440502919,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,VNM,0
